artist_name,biography,listeners,playcount,similar_artist
Lisa,"There are at least eight known artists with the name ""Lisa"": two are from Japan, one from Thailand who based in South Korea, one from France, two from Holland, one from USA, and one from Italy. 

1) Risa Oribe (織部里沙 Oribe Risa, born June 24, 1987), better known by her stage name LiSA  is a Japanese singer signed to Aniplex under Sony Music Artists. Her stage name is an acronym for 'Love is Same All', a band she formed in 2008. She is known https://www.last.fm/music/Lisa",1814186,117194098,Jennie
鈴木このみ,"Konomi Suzuki (鈴木このみ) born Nov 5, 1996 is a 5th Anison Grand Prix Winner, who debut in singing Tasogare Otome x Amnesia OP. Nickname: Konomin (このみん). https://www.last.fm/music/%E9%88%B4%E6%9C%A8%E3%81%93%E3%81%AE%E3%81%BF",32647,1118656,nonoc
Gareth Coker,"Gareth Coker is a British composer for film, games, and commercials. Since moving from Japan to Los Angeles in 2009, Gareth has developed a compositional style focusing on memorable, melodically-driven themes and motifs, combined with unique, and unconventional soundscapes. This approach, and his ability to apply it in a way that always serves to enhance the story earned him the attention of Moon Studios, which led to a highly successful collaboration on the acclaimed game Ori and the Blind Forest https://www.last.fm/music/Gareth+Coker",248739,7732345,Austin Wintory
菅野祐悟,"菅野祐悟 (Yugo Kanno; born on June 5, 1977), is a Japanese soundtrack and classical composer. Famous for Psycho-Pass and JoJo's Bizarre Adventure. He combines contemporary musical styles like EDM and RC with classical and 20th Century film music.

Kanno was born in Saitama, Japan. He attended junior high school in Kawagoe before later moving to Takanezawa for university. While attending school, he was fascinated by Impressionist and Modern Classical Music. https://www.last.fm/music/%E8%8F%85%E9%87%8E%E7%A5%90%E6%82%9F",17236,883004,岩崎琢
Geek Music,"Geek Music is an independent record label specializing in movie, television, anime, and gaming music. https://www.last.fm/music/Geek+Music",841139,7954973,L'Orchestra Cinematique
Christopher Fitzgerald,"Christopher Fitzgerald is an American actor, singer, mime, clown, juggler, and acrobat. He is best known for his role as Boq in the musical Wicked and his role of Igor in Young Frankenstein (musical).

He was born in Bryn Mawr, Pennsylvania, on November 26, 1972. He graduated with a Bachelor of Arts in Theater from Rollins College in Winter Park, Florida. He is a member of Alpha Tau Omega fraternity. He also gained a Masters Degree in Fine Arts from the American Conservatory Theater in San Francisco. https://www.last.fm/music/Christopher+Fitzgerald",250490,2222489,Idina Menzel & Leo Norbert Butz
Dean Fujioka,"Dean Fujioka (ディーン フジオカ) born August 19, 1980 as Tatsuo Fujioka (藤岡 竜雄 Fujioka Tatsuo) is a Japanese actor and artist.

Dean Fujioka was born in Fukushima Prefecture, Japan, and finished college at Seattle University, Seattle, Washington. After his graduation, he decided to explore by traveling and taking a photographic journey across Asia. He is fluent in English, Japanese, and Mandarin.

Fujioka started his career as a model in Hong Kong's fashion scene in 2004 for both local and international designer brands. https://www.last.fm/music/Dean+Fujioka",125394,1469469,taro umebayashi
3年E組うた担(渚&茅野&業&磯貝&前原),https://www.last.fm/music/3%E5%B9%B4E%E7%B5%84%E3%81%86%E3%81%9F%E6%8B%85(%E6%B8%9A&%E8%8C%85%E9%87%8E&%E6%A5%AD&%E7%A3%AF%E8%B2%9D&%E5%89%8D%E5%8E%9F),82429,1152731,Lenny code fiction
林ゆうき,"Hayashi Yuki, (林ゆうき), (Born December 31st 1980) is a Japanese music composer and arranger for rhythmic gymnastics, independent movies and TV drama.

He used to be a rhythmic gymnast, and during University, he started out making music for shows, as a hobby for 5’000 yen a piece. Then, he got many request from other school students who liked his tunes, and quickly, he became a music producer of rhythmic gymnastics. 
After graduation, Hayashi Yuki was taught music for 6 months by a music producer of rhythmic gymnastics https://www.last.fm/music/%E6%9E%97%E3%82%86%E3%81%86%E3%81%8D",9907,758092,Asami Tachibana
RADWIMPS,"Radwimps is a Japanese rock band that formed in their first year of highschool in 2001 in Kanagawa, Japan. They play an eccentric mix of rock, punk, funk and jazz. The band achieved great commercial success in 2006 with their album Radwimps 4: Okazu no Gohan, and are best known for their later singles ""Order Made"" (2008) and ""Dada"" (2011), both of which hit number one on Oricon's single charts.

The five original members had been friends since middle school. https://www.last.fm/music/RADWIMPS",656317,40275897,米津玄師
Crush,"Crush is the name of at least fourteen different musical acts.

1)  Crush (크러쉬), born Shin Hyo-Seob on May 3, 1992, is a South-Korean R&B and hip-hop singer, rapper and songwriter. He is a member of the hip-hop crews Fanxy Child, Club Eskimo, and VV:D.

2)  Crush were formed in Newcastle-upon-Tyne in 1996 and featured Donna Air and Jayni Hoy (both then-teenage actresses in BBC TV's 'Byker Grove'). They released two singles in the UK, jellyhead and luv'd up https://www.last.fm/music/Crush",579242,23468897,Zion.T
Piotr Musiał,"For Piotr Musiał, music has always been more than just sounds. From purely orchestral scores, neoclassical, fantasy to ambient, hybrid or synthwave, Piotr is a versatile composer flexible in many styles.

His unending fascination with Hollywood film scores of the 80s, combined with his passion for minimal and modern music, has driven him into creating his own style while manifesting his trademark perfectionism and detail in his work.

Piotr has worked for 11 bit studios https://www.last.fm/music/Piotr+Musia%C5%82",120366,1986567,Mikolai Stroinski
Kyle Dixon & Michael Stein,"Kyle Dixon & Michael Stein are members of the American synth band S U R V I V E and authors of the soundtrack to Netflix's hit series ""Stranger Things"". Just as its story goes deep referencing the classics of VHS era science fiction and horror movies, Dixon and Stein's music is hugely inspired by the likes of John Carpenter and Tangerine Dream, the masters of tension and synth soundscapes. Even indebted to the classic, they've still managed to create instantly recognizable classic themes, making the series even more mysterious and memorable. https://www.last.fm/music/Kyle+Dixon+&+Michael+Stein",404652,9814812,John Carpenter
Hans Zimmer,"Hans Florian Zimmer (born 12 September 1957) is a German film score composer and record producer. Since the 1980s, he has composed music for over 150 films. His works include The Lion King, for which he won the Academy Award for Best Original Score in 1995, the Pirates of the Caribbean series, The Thin Red Line, Gladiator, The Last Samurai, and The Dark Knight Trilogy.

Zimmer spent the early part of his career in the United Kingdom before moving to the United States. https://www.last.fm/music/Hans+Zimmer",2612808,139092809,Hans Zimmer & James Newton Howard
THE ORAL CIGARETTES,"THE ORAL CIGARETTES is a Japanese rock band from Nara Prefecture, formed in 2010. The band consist of vocalist and guitarist Takuya Yamanaka, guitarist Shigenobu Suzuki, bassist and backing vocalist Akirakani Akira and drummer Masaya Nakanishi.

The band was formed by vocalist Takuya and bassist Akira. Takuya used to work at a bank but he didn’t like working under someone else so he decided to make music instead. They were joined by guitarist Shigenobu, who went to the same kindergarten as Takuya. https://www.last.fm/music/THE+ORAL+CIGARETTES",393131,11414408,Hello Sleepwalkers
BURNOUT SYNDROMES,"Burnout Syndromes is a three-person rock band that formed in Osaka in 2005. They have released two independent albums to date, Sekaiichi Utsukushii Sekaiichi Utsukushii Sekai and Bungaku Shōjo, as well as the single ""LOSTTIME"" under Tower Records.
In the first 2016 issue of Shueisha's Weekly Shonen Jump magazine was announced that the band Burnout Syndromes would perform a new opening theme song titled ""Fly High!!"" for the Haikyu!! Second Season anime. The new song premiered i https://www.last.fm/music/BURNOUT+SYNDROMES",259979,5077740,SPYAIR
Ryan Gosling,"Ryan Gosling (born November 12,1980 in London, Ontario, Canada) mostly known for his acting in indie and studio movies, has deep roots in song. 

Gosling hasn't released much, but often performs at jazz clubs. He did background vocals on the Canadian group soulDecisions 2000 release, still most of what the public has are clips from the movie Wild Roomies (2004) in which he created much of the soundtrack. 

His current project is a vocalist/guitarist for the band Dead Man's Bones alongside vocalist/guitarist Zach Shields. https://www.last.fm/music/Ryan+Gosling",1001547,16108831,Andrew Garfield
